step,cbf_initial,mpc_status,controller_used,mpc_iterations,control_input,predicted_h
0,0.9294062256813049,Solve_Succeeded,MPC,29,"[[-0.9020177496080388, -0.8391703224238155], [-0.02544904548328548, -0.2722084493432627], [0.003372968648828388, -0.008439277773976617]]","[0.9523277282714844, 0.9570459723472595, 0.9572865962982178]"
1,0.9522821307182312,Solved_To_Acceptable_Level,MPC,27,"[[-0.6080475870122487, -0.6019045127227228], [-0.0073393181928560255, -0.03612228732215713], [0.003660413755653177, 0.0022126792829963776]]","[0.9622153639793396, 0.962819516658783, 0.9628854393959045]"
2,0.9650635719299316,Solve_Succeeded,MPC,10,"[[-0.0360833335266578, -0.0665421435550344], [0.002916774405312553, 0.0005899448253578655], [0.0038438124890844373, 0.0037410026098858087]]","[0.9643598794937134, 0.964371383190155, 0.9643726944923401]"
3,0.967221736907959,Solve_Succeeded,MPC,27,"[[-0.04787416013288525, 0.16431332773962667], [0.002759914684439431, 0.008751739057414462], [0.0037976422231939563, 0.0038216089852909237]]","[0.9636026620864868, 0.9635547995567322, 0.9635595679283142]"
4,0.9674206376075745,Solve_Succeeded,MPC,25,"[[-0.2577405970720245, 0.17948987310777198], [-0.00042402926233912734, 0.009248193771871025], [0.003752821950646869, 0.0038740800428405924]]","[0.9635258316993713, 0.9634751677513123, 0.9634794592857361]"
5,0.9680473208427429,Solve_Succeeded,MPC,17,"[[-0.3515040607595607, 0.18356669752158009], [-0.002031083198384017, 0.009762977513785593], [0.0037079138314395246, 0.003688954650244767]]","[0.9635766744613647, 0.9635224938392639, 0.9635294675827026]"
6,0.9687411785125732,Solve_Succeeded,MPC,19,"[[-0.3329409310647292, 0.1957451159262761], [-0.0017102126384853104, 0.009891736886519212], [0.0036676108765002122, 0.003843526340403322]]","[0.9635549187660217, 0.9634990096092224, 0.9635071158409119]"
7,0.969272792339325,Solved_To_Acceptable_Level,MPC,26,"[[-0.25648500828194093, 0.20117667768081607], [-0.00023599125581222065, 0.009784398371009502], [0.0031690595915409687, 0.0045658584254305]]","[0.9636092185974121, 0.9635707139968872, 0.9635975956916809]"
8,0.9695000648498535,Solved_To_Acceptable_Level,MPC,24,"[[-0.1721951464337395, 0.1923871820307259], [0.00021553684095708506, 0.009424224080361171], [0.0039092375108631845, 0.00382548352794428]]","[0.9638367295265198, 0.9638158082962036, 0.9638516902923584]"
9,0.9693506360054016,Solve_Succeeded,MPC,29,"[[-0.10977719084064372, 0.174852491075988], [0.0018567068610746199, 0.009841363244938882], [0.0037639696298929254, 0.0040291872835717295]]","[0.9641546010971069, 0.964131772518158, 0.9641677737236023]"
10,0.9688820242881775,Solve_Succeeded,MPC,26,"[[-0.06626929579601219, 0.14931756565575846], [0.0024406270042912986, 0.008937980110798615], [0.0037743751237600738, 0.003867450331801422]]","[0.9645407199859619, 0.9645302295684814, 0.9645706415176392]"
11,0.96803218126297,Solved_To_Acceptable_Level,MPC,20,"[[-0.03554174695339158, 0.1109269009922369], [0.001978462587913718, 0.008597621979305137], [0.004491576690158541, 0.0037290158028768353]]","[0.9650403261184692, 0.96503746509552, 0.9650830626487732]"
12,0.9673346877098083,Solve_Succeeded,MPC,26,"[[-0.014118739568218106, 0.0782338521103619], [0.0031182109218515566, 0.006336829815988086], [0.0037858135789178068, 0.003719346452110912]]","[0.965351402759552, 0.965366780757904, 0.9654077887535095]"
13,0.9668829441070557,Solve_Succeeded,MPC,16,"[[0.0022772020484357934, 0.05292331496148542], [0.0033434324098909484, 0.0052299170485864774], [0.0039387124207200044, 0.003941982533626563]]","[0.9654189348220825, 0.9654468894004822, 0.9654858112335205]"
