step,cbf_initial,mpc_status,controller_used,mpc_iterations,control_input,predicted_h
0,0.9958429932594299,Solved_To_Acceptable_Level,MPC,24,"[[0.8821034146578729, 0.7692445296405616], [0.11170399833382143, 0.4130673291957627], [-0.0009059376770017486, 0.042268004700116914]]","[0.9955255389213562, 0.9952083826065063, 0.9951325058937073]"
1,0.9955264925956726,Solve_Succeeded,MPC,26,"[[0.5947652126397551, 0.5780250303757946], [0.020135017553614885, 0.11477644982086979], [-0.0032039475062118207, 0.003962432288825812]]","[0.9952747821807861, 0.9951291084289551, 0.9951058626174927]"
2,0.9955785274505615,Solve_Succeeded,MPC,8,"[[0.04192004006467475, 0.13777674121831074], [-0.0021883207083753815, 0.005903845998094019], [-0.00368768528888834, -0.0037847065385559864]]","[0.9950668215751648, 0.9950444102287292, 0.9950307607650757]"
3,0.9957767128944397,Solved_To_Acceptable_Level,MPC,23,"[[-0.1663998600265409, 0.06121505771079755], [-0.007997022942610699, 8.266901716784419e-05], [-0.004183849133666149, -0.004511781689921068]]","[0.9949796199798584, 0.9949537515640259, 0.9949324727058411]"
4,0.9960071444511414,Solve_Succeeded,MPC,24,"[[-0.17637424461866572, 0.22985388780859584], [-0.00756686985494233, 0.013863653247139802], [-0.003723764518658048, -0.002802563820454397]]","[0.9949992895126343, 0.9949445724487305, 0.9949002861976624]"
5,0.9960294961929321,Solved_To_Acceptable_Level,MPC,40,"[[-0.1812804762977934, 0.3303728783274353], [-0.00737536131811518, 0.02656348987880494], [-0.003885888146791843, -0.002379996366445874]]","[0.995015561580658, 0.9949133992195129, 0.9948033690452576]"
6,0.9959012269973755,Solve_Succeeded,MPC,24,"[[-0.19492360283218793, 0.33009438866530394], [-0.008166594989556228, 0.026603276585698967], [-0.003806003996866775, -0.0016934036822976927]]","[0.9949352145195007, 0.9947368502616882, 0.9944151639938354]"
7,0.9956797957420349,Solve_Succeeded,MPC,29,"[[-0.20096395849061058, 0.26796344447174475], [-0.00817896264475465, 0.019219563515471605], [-0.0038065548868852317, -0.002871183518499524]]","[0.9946160912513733, 0.9940285682678223, 0.9917981028556824]"
8,0.9950171709060669,Solve_Succeeded,MPC,24,"[[-0.1933861937394068, 0.18510496002594887], [-0.00824914930487027, 0.010523107390659762], [-0.0037390342620154684, -0.003310870355862672]]","[0.992702841758728, 0.9899571537971497, 0.9799611568450928]"
9,0.9937902688980103,Solved_To_Acceptable_Level,MPC,33,"[[-0.17443995030864892, 0.09149313043048414], [0.01392721909913404, -0.20692577550602897], [-0.16240709363793354, 0.2628277367851105]]","[0.9869998693466187, 0.971619188785553, 0.94134920835495]"
10,0.9904834628105164,Solved_To_Acceptable_Level,MPC,20,"[[-0.12163478718398782, -0.2964765899120261], [-0.23511040983616052, 0.3955189506092686], [-0.4511316608243497, 0.02107204317061724]]","[0.9571635127067566, 0.9262897968292236, 0.8940150737762451]"
11,0.9689501523971558,Solve_Succeeded,MPC,15,"[[-0.5067283458194691, 0.41461592589362506], [-0.2685609826885558, 0.007357622072941902], [-0.13591725536406218, 0.0015954089463749534]]","[0.9086591005325317, 0.8771621584892273, 0.8419986963272095]"
12,0.9265016913414001,Solve_Succeeded,MPC,17,"[[-0.4192067001063695, 0.122702782954884], [-0.24822190703289196, -0.01160616719069769], [-0.10858672316899272, -0.007371695726155877]]","[0.8577978610992432, 0.8246344923973083, 0.7962024211883545]"
13,0.8821760416030884,Solve_Succeeded,MPC,16,"[[-0.33189212127388434, -0.04415943319722602], [-0.08830298520004266, -0.014328529804605496], [-0.099632612208974, -0.0008897190717294275]]","[0.827125072479248, 0.8009358048439026, 0.7701038718223572]"
14,0.8527536988258362,Solved_To_Acceptable_Level,MPC,15,"[[-0.1715793120940885, -0.057197219496784905], [-0.06186413225207715, 0.0051105926689658295], [-0.09297664012621408, -0.01298939961611538]]","[0.8079861402511597, 0.7825596928596497, 0.757476806640625]"
15,0.8083328008651733,Solved_To_Acceptable_Level,MPC,12,"[[-0.11873067701200522, -0.007407711822300797], [-0.07565567925674772, -0.017356436195409435], [-0.03654320710805729, 0.002257280153863961]]","[0.7807464599609375, 0.756567656993866, 0.7330427765846252]"
16,0.7733851671218872,Solved_To_Acceptable_Level,MPC,60,"[[-0.13770191042406804, -0.021321790258092235], [-0.023829653685629046, 0.010068480539702268], [-0.029066080723812233, -0.00572985343846402]]","[0.7390395998954773, 0.7161462306976318, 0.6939612030982971]"
17,0.7274795174598694,Solved_To_Acceptable_Level,MPC,11,"[[-0.0891275150216069, -0.0009765998308827659], [-0.018261666920869474, -0.003215682868010707], [-0.00950171308723771, -0.001972701980585167]]","[0.6921043992042542, 0.6709794402122498, 0.6504015326499939]"
18,0.6918916702270508,Solve_Succeeded,MPC,18,"[[-0.07836460823702138, -0.030112559844392803], [0.004308532746031436, 0.02012286428983157], [-0.02994765045246041, -0.006141214228600282]]","[0.6554868817329407, 0.6354493498802185, 0.6158088445663452]"
19,0.6638911366462708,Solved_To_Acceptable_Level,MPC,15,"[[-0.05093270432847332, 0.00261340112084725], [-0.0150440546471176, -0.015348927845475736], [0.0075250027513879825, 0.004882808929853795]]","[0.6263776421546936, 0.607290506362915, 0.5888404846191406]"
20,0.6490534543991089,Solve_Succeeded,MPC,26,"[[-0.05552678927548222, -0.040106772559489814], [0.033079011987037325, 0.013298713239531752], [-0.006366233023817308, -0.004055173044745003]]","[0.6061097979545593, 0.587852954864502, 0.5701205730438232]"
21,0.6329053044319153,Solve_Succeeded,MPC,15,"[[-0.010819969543211879, -0.028180454210835152], [0.039457203458862236, 0.0167866209239362], [-0.0072432639358345945, -0.004916952029206366]]","[0.5918217301368713, 0.5741753578186035, 0.5570608973503113]"
22,0.6250432729721069,Solve_Succeeded,MPC,21,"[[0.008825155240365498, -0.00807910010617946], [0.021171452608325838, -0.004393258551181017], [0.09237069016647918, 0.011207100706530287]]","[0.5872979164123535, 0.5698416233062744, 0.5531928539276123]"
23,0.6184874176979065,Solve_Succeeded,MPC,34,"[[-8.07499595872115e-05, -0.018953774222256622], [0.024495200008095387, -0.005366789239825506], [0.0957775086664481, 0.01379166059488285]]","[0.5808219313621521, 0.5635549426078796, 0.5471248030662537]"
24,0.6109305620193481,Solved_To_Acceptable_Level,MPC,13,"[[-0.010047015760419414, -0.03964820766819912], [0.05114476348301445, 0.020648515082171526], [0.08129780826835117, 0.00815595224027918]]","[0.5735981464385986, 0.5565515756607056, 0.540327787399292]"
25,0.6179502606391907,Solved_To_Acceptable_Level,MPC,16,"[[-0.04439669108848248, -0.07701677084266592], [0.33717028372807434, 0.041800057688020385], [-0.10957214794425169, 0.06279926419755624]]","[0.5894163846969604, 0.5773106813430786, 0.560562014579773]"
26,0.6625717878341675,Maximum_Iterations_Exceeded_FeasibleRestored,MPC,100,"[[0.003924555089428386, 0.03250373396429014], [0.49821883386606003, 0.018691742200773662], [-0.21010607669304243, 0.02420657656629618]]","[0.6542400121688843, 0.6530298590660095, 0.6366453170776367]"
27,0.6749934554100037,Solve_Succeeded,MPC,20,"[[-0.011414993934874438, -0.012232179292168997], [0.5125075096069912, 0.024248357105586205], [-0.21068431270487994, 0.02123331949844143]]","[0.668292224407196, 0.6671178340911865, 0.6514009237289429]"
28,0.7590940594673157,Solved_To_Acceptable_Level,MPC,34,"[[-0.021362676635791993, 0.010681527864374369], [0.6258557019219303, -0.04659265430213201], [0.100670224429582, 0.06477134905154744]]","[0.7614907622337341, 0.7679044008255005, 0.7550617456436157]"
29,0.8486621975898743,Solved_To_Acceptable_Level,MPC,37,"[[0.02314464705221626, -0.07774346191900368], [0.6585734357982145, -0.06500836693695689], [0.16273951140457268, 0.14601667901744225]]","[0.8431698679924011, 0.8365969657897949, 0.815741240978241]"
30,0.8467696905136108,Solved_To_Acceptable_Level,MPC,75,"[[0.002009385562743152, -0.1425646827769399], [0.6629464391074752, 0.07108153977163054], [0.039688450386828, 0.12959051357886991]]","[0.8420571088790894, 0.8363096714019775, 0.8247326612472534]"
31,0.8937070369720459,Solve_Succeeded,MPC,28,"[[0.8402093383751352, 0.12630813538126978], [0.31481533964658454, -0.021732641583889104], [0.008822446273920542, -0.006660998274687953]]","[0.9076755046844482, 0.9137438535690308, 0.9146641492843628]"
32,0.8768917918205261,Solved_To_Acceptable_Level,MPC,19,"[[0.6344225338959675, -0.013345035691612262], [0.03103809331323119, -0.00788535384375251], [-0.002230868227982694, -0.0021859861612765832]]","[0.8658039569854736, 0.8665673732757568, 0.8847059607505798]"
33,0.8724616169929504,Solved_To_Acceptable_Level,MPC,10,"[[0.0841691830468426, -0.03200432752155338], [-0.0005799273243656464, -0.01070507349450069], [-0.0031962083688305567, -0.004283193005804663]]","[0.8743963837623596, 0.8732945322990417, 0.9017738699913025]"
